Date,Price,Open,High,Low,Vol.,Change %,CPIAUCSL
2012-02-15,"1,728.10","1,723.00","1,739.20","1,720.30",140.86K,0.61%,228.329
2012-02-14,"1,717.70","1,724.00","1,729.90","1,713.80",148.11K,-0.42%,228.329
2012-02-13,"1,724.90","1,727.40","1,735.40","1,717.70",103.51K,-0.02%,228.329
2012-02-10,"1,725.30","1,731.10","1,737.20","1,706.40",178.13K,-0.91%,228.329
2012-02-09,"1,741.20","1,734.40","1,755.50","1,728.10",163.24K,0.57%,228.329
2012-02-08,"1,731.30","1,747.70","1,754.80","1,726.00",151.08K,-0.98%,228.329
2012-02-07,"1,748.40","1,722.50","1,752.60","1,712.60",161.62K,1.36%,228.329
2012-02-06,"1,724.90","1,731.00","1,740.90","1,714.00",137.27K,-0.88%,228.329
2012-02-03,"1,740.30","1,761.70","1,765.90","1,726.20",191.91K,-1.08%,228.329
2012-02-02,"1,759.30","1,747.30","1,764.00","1,743.30",142.03K,0.56%,228.329
2012-02-01,"1,749.50","1,739.80","1,754.00","1,735.40",124.54K,0.52%,228.329
2012-01-31,"1,740.40","1,734.40","1,750.60","1,727.00",157.88K,0.35%,227.842
2012-01-30,"1,734.40","1,739.60","1,742.80","1,718.80",133.37K,0.13%,227.842
2012-01-27,"1,732.20","1,720.70","1,739.80","1,714.20",175.02K,0.32%,227.842
2012-01-26,"1,726.70","1,710.90","1,731.50","1,703.00",226.66K,1.56%,227.842
2012-01-25,"1,700.10","1,666.50","1,713.20","1,649.20",240.48K,2.14%,227.842
2012-01-24,"1,664.50","1,677.10","1,680.00","1,661.00",137.34K,-0.82%,227.842
2012-01-23,"1,678.30","1,665.20","1,681.80","1,663.00",131.46K,0.86%,227.842
2012-01-20,"1,664.00","1,657.00","1,667.30","1,645.20",127.01K,0.57%,227.842
2012-01-19,"1,654.50","1,660.70","1,670.60","1,649.20",130.75K,-0.33%,227.842
2012-01-18,"1,659.90","1,651.50","1,662.90","1,642.10",157.22K,0.26%,227.842
2012-01-16,"1,655.60","1,635.80","1,668.00","1,631.90",193.66K,1.52%,227.842
2012-01-13,"1,630.80","1,649.80","1,650.70","1,625.70",177.53K,-1.03%,227.842
2012-01-12,"1,647.70","1,643.50","1,662.90","1,640.90",146.83K,0.49%,227.842
2012-01-11,"1,639.60","1,632.40","1,648.00","1,630.80",144.55K,0.50%,227.842
2012-01-10,"1,631.50","1,612.30","1,641.40","1,609.20",168.41K,1.46%,227.842
2012-01-09,"1,608.10","1,617.70","1,624.60","1,605.70",134.39K,-0.54%,227.842
2012-01-06,"1,616.80","1,622.40","1,632.30","1,609.00",155.21K,-0.20%,227.842
2012-01-05,"1,620.10","1,614.40","1,626.80","1,597.70",176.47K,0.46%,227.842
2012-01-04,"1,612.70","1,604.90","1,619.80","1,593.80",154.22K,0.76%,227.842
2012-01-03,"1,600.50","1,571.00","1,608.70","1,566.80",112.94K,2.15%,227.842
2011-12-30,"1,566.80","1,547.30","1,582.80","1,546.20",94.32K,1.68%,227.223
2011-12-29,"1,540.90","1,557.10","1,562.80","1,523.90",132.78K,-1.48%,227.223
2011-12-28,"1,564.10","1,593.90","1,595.00","1,550.90",114.26K,-1.97%,227.223
2011-12-27,"1,595.50","1,609.20","1,609.20","1,591.10",46.35K,-0.65%,227.223
2011-12-23,"1,606.00","1,607.80","1,615.60","1,604.00",40.68K,-0.29%,227.223
2011-12-22,"1,610.60","1,617.10","1,618.60","1,599.10",96.55K,-0.19%,227.223
2011-12-21,"1,613.60","1,617.20","1,643.70","1,607.70",125.15K,-0.25%,227.223
2011-12-20,"1,617.60","1,595.50","1,620.80","1,594.10",101.15K,1.31%,227.223
2011-12-19,"1,596.70","1,603.50","1,611.50","1,585.50",121.28K,-0.08%,227.223
2011-12-16,"1,597.90","1,573.30","1,603.50","1,572.10",137.43K,1.31%,227.223
2011-12-15,"1,577.20","1,580.00","1,596.50","1,562.50",189.92K,-0.61%,227.223
2011-12-14,"1,586.90","1,631.60","1,645.80","1,565.70",283.56K,-4.58%,227.223
2011-12-13,"1,663.10","1,668.00","1,681.70","1,625.50",182.89K,-0.31%,227.223
2011-12-12,"1,668.20","1,716.80","1,718.60","1,660.30",165.10K,-2.83%,227.223
2011-12-09,"1,716.80","1,708.90","1,727.90","1,704.90",105.58K,0.20%,227.223
2011-12-08,"1,713.40","1,746.80","1,760.50","1,707.80",173.37K,-1.80%,227.223
2011-12-07,"1,744.80","1,733.00","1,747.00","1,723.60",105.73K,0.75%,227.223
2011-12-06,"1,731.80","1,727.20","1,736.90","1,705.70",133.43K,-0.16%,227.223
2011-12-05,"1,734.50","1,751.00","1,758.80","1,721.10",117.52K,-0.96%,227.223
2011-12-02,"1,751.30","1,748.50","1,767.10","1,741.70",107.01K,0.66%,227.223
2011-12-01,"1,739.80","1,752.50","1,758.00","1,737.20",113.56K,-0.60%,227.223
2011-11-30,"1,750.30","1,722.70","1,754.70","1,704.30",187.24K,1.83%,227.169
2011-11-29,"1,718.90","1,715.30","1,724.10","1,707.20",158.26K,0.47%,227.169
2011-11-28,"1,710.80","1,685.40","1,722.40","1,684.00",175.53K,1.49%,227.169
2011-11-24,"1,685.70","1,693.40","1,702.70","1,672.60",139.44K,-0.60%,227.169
2011-11-23,"1,695.90","1,699.90","1,710.80","1,677.10",173.33K,-0.38%,227.169
2011-11-22,"1,702.40","1,678.50","1,706.40","1,667.50",182.85K,1.42%,227.169
2011-11-21,"1,678.60","1,725.10","1,727.40","1,667.10",209.40K,-2.70%,227.169
2011-11-18,"1,725.10","1,721.50","1,738.50","1,711.40",147.93K,0.28%,227.169
2011-11-17,"1,720.20","1,764.70","1,768.00","1,711.00",229.94K,-3.05%,227.169
2011-11-16,"1,774.30","1,782.30","1,784.80","1,753.90",172.66K,-0.44%,227.169
2011-11-15,"1,782.20","1,782.00","1,787.80","1,760.90",132.68K,0.21%,227.169
